hash,move,score - This file contains all positions with 4 to 6 moves on a 8x7 board.
72903122792087813,4,6
217019410378981893,5,2
72341280939901189,5,3
72341272350359813,3,3
72340172838667013,3,2
72340172855509253,3,0
72340181428601093,4,7
72340181461762309,3,0
72342371861529349,5,0
72340172838732293,2,3
72340172922028805,3,4
72340190018011909,4,0
73466072745181445,3,0
216455360930971909,3,-3
144960716829688069,3,3
72903122825249029,3,3
144397766909625093,3,4
72621656404787973,2,5
72340177233772805,3,6
72340172938936581,3,5
72340190051565829,4,0
216455360914522373,3,2
216455360997884165,4,2
72903122808537349,3,-1
72340173039468805,3,5
144397775466005253,4,5
72340181428535557,3,24
72904222303191813,2,-3
72342380451463429,6,24
72903131381629189,5,24
72904222303387909,5,3
72342371895083269,3,3
72621647814852887,3,-3
72621656438341893,4,5
72903127120085253,4,4
216456460425626373,2,-3
72340194312978699,1,0
216455360914129669,4,-4
72342376189919493,2,5
72903122875449605,4,4
72341280973259013,5,4
72903127086727429,4,-2
72340181511962885,4,8
72340181495185669,2,4
72903144266400005,3,4
72344579474587909,6,24
216455360947683589,3,-2
72340194346533125,2,8
72340172922224901,3,4
72340198624723205,3,8
73466081334919429,5,24
72342393336234245,2,6
72340194312979205,2,6
360570548990050565,3,3
360854222989754630,5,3
216455382388834565,3,0
72342371861856517,3,24
72340194313175301,2,3
72905321814950149,4,24
72346769908039941,5,8
144397792645873925,4,8
72342380468109573,6,5
144397775499559173,4,8
72905321831596293,4,5
72342389041266949,6,24
216457559954030853,4,3
72621673584656645,4,7
72341272450433285,3,5
72342371928506629,3,4
73466072744985349,3,2
72340172872220933,2,4
72903131398275333,4,7
216455360913999365,3,4
72344570918207749,2,3
144399974489260293,4,6
144960725419426053,4,6
72346774202876165,2,5
73468271768240389,4,24
72904222336745733,5,4
216455369520709893,4,6
73466072778539269,3,5
72623846871662853,5,4
216455365242519813,4,0
74029022698537221,6,3
144399965932880133,3,6
72903122858672389,3,2
72345670396477701,2,5
144962915852747013,5,6
72903139971432709,5,24
144397766976733445,3,6
72344570884653829,1,3
72907520838074629,4,24
74029022715183365,6,4
72342371945283845,5,5
144404363945836805,5,7
144960716829491973,3,3
72341298119573765,2,7
217018310884196613,4,3
72904230893125893,4,3
72345678986215685,4,5
72346769924686085,5,6
216456460459180293,3,2
72340198608077061,4,3
74029026993373445,3,4
72621647915516165,3,6
73747547721892101,3,4
144960716863045893,2,6
217018310867550469,4,-3
146086616736334085,3,6
72908620349702405,5,6
72623855428043013,4,3
216456469015560453,4,3
74030122210033925,6,3
72353366977675525,4,4
216455369504063749,2,-1
216457559937384709,2,-2
72903122792022277,6,-3
360570549023408389,3,4
216455360981106949,3,0
72345670429835525,2,5
216736835924263173,3,3
72628244884619525,5,4
72905326109786373,4,-2
360571648501547269,3,4
217018315162386693,3,-6
216460858472136965,5,4
216455360914456837,2,-4
216736844480643333,4,5
72621647814853387,4,3
216457564232220933,2,-2
72345670396281099,5,5
144397766876070167,2,-2
72345670396281605,4,3
360571652796383495,3,0
217019410379047173,5,0
75717872558670085,4,3
72340172854853933,3,0
72340172854984982,2,3
144399965899326213,2,4
73747547755249925,3,4
360571648518193415,4,-3
360574947036299526,5,3
360573847524671751,3,-3
216736835890709253,2,2
72340177200152843,3,1
72340224377749765,4,4
72623846838108427,5,2
144397766876070667,2,4
360571648501416709,3,3
217581260820840709,4,0
72340177149821207,2,-7
72340172854854422,3,3
72340177149952267,2,0
72903127103242507,2,-5
72340172972294411,3,-3
216459758960509189,2,-2
73747556311630085,4,5
72342376173076747,3,0
72340177149821707,2,-6
72621647881896203,2,2
360852023966499085,4,0
72342371878109462,5,0
72341272366482187,4,-4
72340172888539403,3,-4
360570557579788549,2,5
72340190034723083,3,2
360571648534970630,3,5
72340181444788502,4,4
72341272366481687,4,-5
72342371911663883,3,-4
72340172854855179,3,4
72904222319902987,3,0
216456460442337547,4,-5
144397766943113483,3,2
72621656421499147,3,3
72341280956416267,3,5
216455378093867269,4,1
72621647831695627,3,-2
72340181478342923,3,-4
73747547721695499,4,4
72340172972294917,2,25
72344570901365003,3,-3
216455365225677067,2,-8
216736835890708747,2,3
360571648501481735,5,-2
72340172854856965,3,0
72621647831565067,3,-1
72340177200153349,2,25
360571648501416710,4,3
144397775482716427,3,3
72340181444789765,3,5
72341272366612747,2,-1
72621647831564567,3,-3
72342371878110725,3,2
72341272416813829,2,25
216455360964264203,4,-6
72340177149822725,1,-3
72341272416813323,3,2
360571657091350790,5,4
72340177149952773,3,-2
216736835907420427,3,-3
72621647881896709,2,25
72623846854820107,3,2
72341272366483205,4,0
72340172905185558,3,4
72342376173077253,3,-1
72340172888409861,3,-2
72340181478343429,3,-2
144397766943113989,2,25
216455365225677573,5,-6
360570548989854469,2,3
72340172854986245,3,5
432628143027781899,4,2
72904222319903493,3,0
