hash,move,score - This file contains all positions with 4 or 5 moves on a 8x7 board.
72340177133175049,2,2
73466072744920578,3,2
72345670396346628,4,6
72342371878240516,5,3
72342371861463304,0,3
72341272349836546,4,3
72340172922093828,3,6
72340172871958788,4,6
72623846838173956,5,7
72340172838210050,4,3
72340177133437188,4,6
72342376156430596,4,3
72903135676400386,4,-5
72340172855247362,2,6
144960716846203142,3,-3
72340172838208772,4,2
72340172871762946,4,2
144399965899391236,2,5
144399970194227970,4,2
72340194313044228,2,6
72621647814919426,4,1
144679241852715781,2,-2
216736835890774276,3,3
72340172871959042,3,7
72340172838405378,4,5
144397766909690370,3,6
72621647815180802,2,7
72340172838208009,2,1
72621647848473090,3,6
72340177166729730,3,0
72340172838470658,2,6
73467172256547586,4,-2
72341272383390210,3,6
72340172838928898,3,6
72903122791629064,0,3
72340181428339202,3,4
144960716829426182,3,3
72340172922094082,3,6
72340181428143106,1,4
144962915852681476,5,4
72342371861660162,3,5
72903122808406276,3,2
144960716829556996,4,3
73747547721761028,6,5
216455360930840836,3,1
72342371861464066,5,6
72340172838797573,1,-3
72623846838174210,2,7
72621656404853250,4,7
144397775466070530,4,6
144961816341053702,3,0
144397766876398082,5,7
72903122791825922,3,6
144399965899391490,2,7
72340172838863362,1,3
72903122808406530,1,3
145805141759623427,2,3
72340172922290434,1,3
72342371878240770,5,4
72340172855640322,3,0
73186796791464706,5,0
72340172838863108,3,3
72340172839715074,3,3
72340181445116162,1,3
216455360914063624,0,2
216455360914063876,2,5
72340172838404361,4,4
72340177166926082,3,6
72341272383586562,3,6
72341280939770370,4,5
72340194313240834,3,6
72341272350097922,2,4
72342371878437122,1,3
72340181444919810,4,4
72340181428732162,3,3
72903122791629826,2,3
72903122791629316,2,6
72341272350490882,4,1
72621647848669442,3,6
144397766909886722,3,7
144681445170938115,4,2
145244390829392131,5,0
72903122808602882,1,-3
72342371862053122,3,3
72345670396543234,3,5
72340172855705858,1,5
288515153975116038,4,3
72903127086792962,3,3
